"gun","CO_daily","NO2_daily"
2004-03-10,1.96666666666667,108.833333333333
2004-03-11,2.23913043478261,99.8695652173913
2004-03-12,2.80454545454545,116.272727272727
2004-03-13,2.69565217391304,118.869565217391
2004-03-14,2.4695652173913,110.391304347826
2004-03-15,3.50434782608696,118.739130434783
2004-03-16,2.7695652173913,118.173913043478
2004-03-17,3.07391304347826,119.95652173913
2004-03-18,2.7,125.130434782609
2004-03-19,2.96521739130435,118.086956521739
2004-03-20,2.11304347826087,97.304347826087
2004-03-21,1.99130434782609,89.1739130434783
2004-03-22,2.13913043478261,90.5217391304348
2004-03-23,2.00434782608696,97
2004-03-24,2.1,96.5217391304348
2004-03-25,1.90416666666667,89.304347826087
2004-03-26,1.87916666666667,92.4347826086957
2004-03-27,1.84347826086957,93.0434782608696
2004-03-28,1.5625,79.1304347826087
2004-03-29,1.46666666666667,84.5652173913043
2004-03-30,2.2,102.260869565217
2004-03-31,1.925,96.4347826086957
2004-04-01,2.55,96.7391304347826
2004-04-02,2.8,118.521739130435
2004-04-03,1.56,86.3333333333333
2004-04-04,NA,NA
2004-04-05,2.75714285714286,107.928571428571
2004-04-06,2.23333333333333,96.0434782608696
2004-04-07,1.6375,85.2608695652174
2004-04-08,2.57826086956522,105.913043478261
2004-04-09,2.45416666666667,112.913043478261
2004-04-10,1.75416666666667,90.6521739130435
2004-04-11,1.20434782608696,67.9565217391304
2004-04-12,0.8625,66.1304347826087
2004-04-13,2.05416666666667,93.9565217391304
2004-04-14,2.14166666666667,83.5
2004-04-15,4.18666666666667,130.533333333333
2004-04-16,3.30416666666667,113.695652173913
2004-04-17,2.23333333333333,90.3333333333333
2004-04-18,NA,NA
2004-04-19,NA,NA
2004-04-20,NA,NA
2004-04-21,NA,NA
2004-04-22,NA,NA
2004-04-23,3.56315789473684,135
2004-04-24,2.09130434782609,91.7391304347826
2004-04-25,1.24347826086957,63.6086956521739
2004-04-26,1.49565217391304,77.304347826087
2004-04-27,2.22608695652174,94.6086956521739
2004-04-28,2.82173913043478,111.869565217391
2004-04-29,3.1304347826087,105.130434782609
2004-04-30,2.9695652173913,103.608695652174
2004-05-01,2.05652173913043,84.9565217391304
2004-05-02,1.60869565217391,79.695652173913
2004-05-03,2.1695652173913,89.6521739130435
2004-05-04,2.30434782608696,84.4782608695652
2004-05-05,2.10909090909091,84.5909090909091
2004-05-06,1.99565217391304,89.6086956521739
2004-05-07,2.19130434782609,96.7826086956522
2004-05-08,1.4,66
2004-05-09,NA,NA
2004-05-10,2.54666666666667,106.6
2004-05-11,2.79565217391304,103.347826086957
2004-05-12,2.6304347826087,100.217391304348
2004-05-13,2.40434782608696,104.521739130435
2004-05-14,2.42727272727273,115.818181818182
2004-05-15,1.78260869565217,93.8260869565217
2004-05-16,1.4,81.4347826086957
2004-05-17,1.68260869565217,91.695652173913
2004-05-18,2.28695652173913,101.086956521739
2004-05-19,2.36521739130435,113.217391304348
2004-05-20,2.42608695652174,113.478260869565
2004-05-21,2.26521739130435,108.304347826087
2004-05-22,2.00869565217391,91.8260869565217
2004-05-23,1.3,68.4782608695652
2004-05-24,1.13181818181818,76.4347826086957
2004-05-25,1.64166666666667,88.1428571428571
2004-05-26,1.9875,118.714285714286
2004-05-27,NA,NA
2004-05-28,1.68888888888889,108.888888888889
2004-05-29,0.845454545454545,78.7391304347826
2004-05-30,0.656521739130435,74.7826086956522
2004-05-31,1.52,93.0869565217391
2004-06-01,2.1,75.8695652173913
2004-06-02,0.8,49.1304347826087
2004-06-03,NA,66.3
2004-06-04,2.8625,NA
2004-06-05,1.45,76.9
2004-06-06,1,62.9130434782609
2004-06-07,2.22608695652174,101.95652173913
2004-06-08,2.45833333333333,113.590909090909
2004-06-09,2.46666666666667,127.130434782609
2004-06-10,2.66086956521739,125.260869565217
2004-06-11,2.18695652173913,113.619047619048
2004-06-12,1.31666666666667,79.304347826087
2004-06-13,0.729166666666667,55.304347826087
2004-06-14,1.21304347826087,67.3913043478261
2004-06-15,2.15416666666667,104.04347826087
2004-06-16,2.15833333333333,98.0869565217391
2004-06-17,2.24347826086957,104.04347826087
2004-06-18,2.04583333333333,114.04347826087
2004-06-19,1.25833333333333,77.6521739130435
2004-06-20,1.45217391304348,72.304347826087
2004-06-21,1.80833333333333,94.1739130434783
2004-06-22,2.2,105.304347826087
2004-06-23,2.45652173913043,110.869565217391
2004-06-24,1.7375,81.0869565217391
2004-06-25,2.08333333333333,105.347826086957
2004-06-26,1.48260869565217,87
2004-06-27,1.33333333333333,83.6086956521739
2004-06-28,2.1,111.608695652174
2004-06-29,2.41304347826087,118.695652173913
2004-06-30,2.375,130.521739130435
2004-07-01,2.1625,113.434782608696
2004-07-02,2.07391304347826,119.913043478261
2004-07-03,1.31666666666667,90.0869565217391
2004-07-04,1.01666666666667,67.6521739130435
2004-07-05,2.0695652173913,117.347826086957
2004-07-06,2.5,129.869565217391
2004-07-07,2.45416666666667,136.04347826087
